,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,PKSF-,,,,,,,,,,,,,,,,,,,,,
site_name,suspected ejecta - conglomerate test from coffee farm previously - not block samples,,,,,,,,,,,,,,,,,,,,,
site_lat,15.11,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,106.23,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,1336.548,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1,sun compass orientation,     0,160,55.0,0.0,0.0,no,115.0,7.0,2024.0,3.0,13.0,13.0,37.0,1.0,nan,169.4,[np.float64(358.67435700597497); np.float64(19.485490533684878); np.float64(43094.65329039852)],-1.3256429940250314,9.400000000000006,169.4,nan
2,sun compass orientation,     0,83.5,64.0,0.0,0.0,no,23.5,7.0,2024.0,3.0,13.0,13.0,51.0,1.0,nan,82.0,[np.float64(358.674355447294); np.float64(19.485493693303518); np.float64(43094.65463307516)],-1.3256445527060237,-1.5,82.0,nan
3,sun compass orientation,     0,78,73.0,0.0,0.0,no,23.5,7.0,2024.0,3.0,13.0,13.0,56.0,1.0,nan,83.3,[np.float64(358.67435489062217); np.float64(19.485494821738698); np.float64(43094.65511260262)],-1.325645109377831,5.299999999999997,83.3,nan
4,sun compass orientation,     0,59,48.0,0.0,0.0,no,59.5,7.0,2024.0,3.0,13.0,14.0,3.0,1.0,nan,121.0,[np.float64(358.67435411128173); np.float64(19.485496401547884); np.float64(43094.655783941016)],-1.3256458887182703,62.0,121.0,nan
5,sun compass orientation,     0,87,36.0,0.0,0.0,no,18.0,7.0,2024.0,3.0,13.0,14.0,11.0,1.0,nan,81.3,[np.float64(358.6743532206069); np.float64(19.48549820704405); np.float64(43094.65655118496)],-1.3256467793930824,-5.700000000000003,81.3,nan
6,sun compass orientation,     0,37.5,38.0,0.0,0.0,no,326.0,7.0,2024.0,3.0,13.0,14.0,17.0,1.0,nan,30.6,[np.float64(358.6743525526008); np.float64(19.485499561166137); np.float64(43094.65712661797)],-1.3256474473992057,-6.899999999999999,30.6,nan
7,sun compass orientation,     0,123.5,36.0,0.0,0.0,no,56.5,7.0,2024.0,3.0,13.0,14.0,26.0,1.0,nan,122.8,[np.float64(358.67435155059167); np.float64(19.485501592349188); np.float64(43094.65798976749)],-1.3256484494083338,-0.7000000000000028,122.8,nan
8,sun compass orientation,     0,51,28.0,0.0,0.0,no,342.0,7.0,2024.0,3.0,13.0,14.0,30.0,1.0,nan,49.0,[np.float64(358.6743511052543); np.float64(19.485502495097165); np.float64(43094.65837338956)],-1.3256488947457115,-2.0,49.0,nan
9,sun compass orientation,     0,54,28.0,0.0,0.0,no,345.5,7.0,2024.0,3.0,13.0,14.0,33.0,1.0,nan,53.0,[np.float64(358.6743507712512); np.float64(19.485503172158154); np.float64(43094.65866110612)],-1.3256492287487731,-1.0,53.0,nan
0,sun compass orientation,     0,77.5,32.0,0.0,0.0,no,14.0,7.0,2024.0,3.0,13.0,14.0,38.0,1.0,nan,82.4,[np.float64(358.6743502145795); np.float64(19.485504300593096); np.float64(43094.65914063369)],-1.3256497854205236,4.900000000000006,82.4,nan
1.1,sun compass orientation,     0,109.5,53.0,0.0,0.0,no,36.5,7.0,2024.0,3.0,13.0,14.0,57.0,1.0,nan,107.8,[np.float64(358.67434809922696); np.float64(19.485508588645693); np.float64(43094.66096283867)],-1.325651900773039,-1.7000000000000028,107.8,nan
